# Version 1.00
#
power[dBm],re:Trc1_S11[U],im:Trc1_S11[U],Trc2_S12[dB],Trc3_S21[dB],Trc4_S11[dB],Trc5_b2d1/a1d1sam[dB],Trc6_S12[dB],Trc7_S22[dB],
-3.925744992672203E+001,6.615951278311483E-002,2.793026849190500E-003,-7.037695452559667E+001,-9.891067703349776E+000,-2.358042076342072E+001,-2.280995940943830E+000,-7.037695452559667E+001,-2.332020323781695E+001,
-3.923790913531998E+001,6.494590237097832E-002,-2.450301526171940E-003,-6.734630091819459E+001,-1.087556126125171E+001,-2.374278741863536E+001,-2.357286714044253E+000,-6.734630091819459E+001,-2.604516121672100E+001,
-3.921836834391793E+001,6.581897936799648E-002,-4.392727785811128E-003,-6.883321291586101E+001,-1.307086238683982E+001,-2.361367588991296E+001,-2.121302218037388E+000,-6.883321291586101E+001,-2.544060936588519E+001,
-3.919882755251588E+001,6.543876194338091E-002,-7.015870491042356E-004,-6.221864050629714E+001,-7.221339702095682E+000,-2.368279934184085E+001,-2.160126245983508E+000,-6.221864050629714E+001,-2.598860576060466E+001,
-3.917928676111382E+001,6.868528845737833E-002,3.573905658024335E-003,-6.221407351891240E+001,-1.066187462984430E+001,-2.325098309975313E+001,-2.169263853800475E+000,-6.221407351891240E+001,-2.068600641793613E+001,
-3.915974596971177E+001,6.382767138225053E-002,9.143238124279049E-003,-6.096227748500689E+001,-1.345356723403927E+001,-2.381160384237413E+001,-2.443588658471541E+000,-6.096227748500689E+001,-2.566576060169851E+001,
-3.914020517830972E+001,6.481892246011843E-002,3.323236432792401E-003,-6.101047057872027E+001,-1.309291802191619E+001,-2.375456311844330E+001,-2.339527834693711E+000,-6.101047057872027E+001,-2.754880047893113E+001,
-3.912066438690767E+001,6.171539342725160E-002,3.006793878233265E-003,-5.782945936655360E+001,-1.431009199858977E+001,-2.418183346019820E+001,-2.310703163192322E+000,-5.782945936655360E+001,-2.818036965881028E+001,
-3.910112359550562E+001,6.349565988427289E-002,-5.326321758843929E-004,-6.289151469606654E+001,-2.778741687621016E+001,-2.394481359244603E+001,-1.979519636866716E+000,-6.289151469606654E+001,-3.025741873296454E+001,
-3.908158280410357E+001,6.595827385827613E-002,3.288039375278787E-003,-6.680197606417289E+001,-6.450684231344989E+000,-2.360383531372749E+001,-1.968313362476989E+000,-6.680197606417289E+001,-3.453251696450602E+001,
-3.906204201270151E+001,6.445759507337107E-002,6.879516133206189E-004,-5.941051121072664E+001,-1.198418216314104E+001,-2.381402335961686E+001,-1.793280863167822E+000,-5.941051121072664E+001,-2.357685163558939E+001,
-3.904250122129946E+001,6.579291202968723E-002,1.119258879667648E-003,-5.513640768783478E+001,-4.505608614805410E+000,-2.363516114240706E+001,-2.145352624947945E+000,-5.513640768783478E+001,-2.491022062722500E+001,
-3.902296042989741E+001,6.747014452266481E-002,3.490590583091371E-003,-5.923092277182186E+001,-7.632900164206257E+000,-2.340615863287419E+001,-2.492452319039140E+000,-5.923092277182186E+001,-2.421313280283628E+001,
-3.900341963849536E+001,6.422368304729868E-002,-1.350717000868920E-003,-6.805577820887362E+001,-1.190878418258758E+001,-2.384417529547510E+001,-1.747291919225372E+000,-6.805577820887362E+001,-2.710283993054981E+001,
-3.898387884709331E+001,6.752980144395893E-002,4.494658806852891E-003,-7.142240504370810E+001,-1.309691293189454E+001,-2.339089384185866E+001,-2.266040533766902E+000,-7.142240504370810E+001,-2.446061357679630E+001,
-3.896433805569126E+001,6.331875876275926E-002,-1.000099156543975E-003,-7.448957715944475E+001,-1.801682705935826E+001,-2.396826883713631E+001,-1.931453349259114E+000,-7.448957715944475E+001,-2.580284201689932E+001,
-3.894479726428921E+001,6.557812940787665E-002,2.952337339926571E-004,-6.399089717245247E+001,-1.598333762135174E+001,-2.366473148909570E+001,-2.577752417617630E+000,-6.399089717245247E+001,-3.130246922474884E+001,
-3.892525647288715E+001,6.830672230310553E-002,-3.475197863967618E-003,-6.928139084396536E+001,-2.570816970486955E+001,-2.329950430021870E+001,-2.104972570765275E+000,-6.928139084396536E+001,-2.051605394534845E+001,
-3.890571568148510E+001,6.693961643016927E-002,3.294501322025462E-003,-6.725168441712178E+001,-1.149829508787891E+001,-2.347582877810827E+001,-2.761576023205836E+000,-6.725168441712178E+001,-2.671887682748833E+001,
-3.888617489008305E+001,5.908467828557169E-002,2.489372129905073E-003,-7.129730579432808E+001,-1.061395989144445E+001,-2.456280004452380E+001,-2.002311211451193E+000,-7.129730579432808E+001,-2.896451175897428E+001,
-3.886663409868100E+001,6.370622312071492E-002,9.211404740724547E-005,-6.170232594153861E+001,-4.872976903103794E+000,-2.391635375396894E+001,-1.959166855439430E+000,-6.170232594153861E+001,-2.065729687195062E+001,
-3.884709330727895E+001,6.395759735825544E-002,4.175454671597907E-004,-6.507869904765319E+001,-2.153413688760957E+001,-2.388197209141368E+001,-2.696654576082364E+000,-6.507869904765319E+001,-2.929160104949260E+001,
